mode,f10_over_c1_max,f10_over_prev_min,sent7d_min,pct_above_sma200_min,bb_percent_b_min,support,win_rate,fulfill_rate,avg_ret10_vs_prev
core+sma,1.02,1.03,,-0.02,,153,0.42483660130718953,0.17647058823529413,-0.009396047849512845
core+sma,1.02,1.03,,0.0,,147,0.42857142857142855,0.17687074829931973,-0.009620569727328847
core+sma,1.02,1.03,,0.02,,136,0.4338235294117647,0.17647058823529413,-0.010369349361389812
core+sma,1.02,1.03,,0.05,,129,0.4263565891472868,0.17829457364341086,-0.010693281501307975
core+sma,1.02,1.04,,-0.02,,112,0.4375,0.16071428571428573,-0.001242057064337537
core+sma,1.02,1.04,,0.0,,109,0.44036697247706424,0.1559633027522936,-0.0014330275457409862
core+sma,1.02,1.04,,0.02,,98,0.4489795918367347,0.15306122448979592,-0.0015531404665045
core+sma,1.02,1.04,,0.05,,92,0.44565217391304346,0.15217391304347827,-0.0009616330862622924
core+sma,1.02,1.05,,-0.02,,87,0.47126436781609193,0.14942528735632185,0.00670870300486885
core+sma,1.02,1.05,,0.0,,84,0.47619047619047616,0.14285714285714285,0.006744851787424127
core+sma,1.02,1.05,,0.02,,77,0.4805194805194805,0.14285714285714285,0.005795812274580097
core+sma,1.02,1.05,,0.05,,74,0.5,0.14864864864864866,0.008048833805095692
core+sma,1.03,1.03,,-0.02,,233,0.463519313304721,0.17167381974248927,-0.007733922917295157
core+sma,1.03,1.03,,0.0,,219,0.4748858447488584,0.1780821917808219,-0.0072081700204870555
core+sma,1.03,1.03,,0.02,,196,0.45918367346938777,0.17857142857142858,-0.009815952480066704
core+sma,1.03,1.03,,0.05,,177,0.4519774011299435,0.1864406779661017,-0.010677184155652256
core+sma,1.03,1.04,,-0.02,,167,0.48502994011976047,0.1437125748502994,-0.0025976384400145935
core+sma,1.03,1.04,,0.0,,156,0.5,0.14743589743589744,-0.0016080256190860204
core+sma,1.03,1.04,,0.02,,135,0.48148148148148145,0.14814814814814814,-0.004503585408859262
core+sma,1.03,1.04,,0.05,,122,0.48360655737704916,0.1557377049180328,-0.004521489676185944
core+sma,1.03,1.05,,-0.02,,132,0.5075757575757576,0.12878787878787878,0.0018954043911624757
core+sma,1.03,1.05,,0.0,,121,0.5289256198347108,0.1322314049586777,0.00357972729370632
core+sma,1.03,1.05,,0.02,,105,0.5047619047619047,0.13333333333333333,-0.00021349117928950022
core+sma,1.03,1.05,,0.05,,98,0.5204081632653061,0.14285714285714285,0.0008629342742223194
core+bb,1.02,1.03,,,0.4,110,0.44545454545454544,0.18181818181818182,-0.0016659663156074337
core+bb,1.02,1.03,,,0.5,81,0.49382716049382713,0.19753086419753085,-0.0009531245618031979
core+bb,1.02,1.03,,,0.6,64,0.46875,0.15625,-0.0033492838343325733
core+bb,1.02,1.04,,,0.4,71,0.4788732394366197,0.15492957746478872,0.008119658373900088
core+bb,1.02,1.04,,,0.5,51,0.5294117647058824,0.1568627450980392,0.011728081533694217
core+bb,1.02,1.04,,,0.6,40,0.55,0.175,0.015947602303914496
core+bb,1.02,1.05,,,0.4,47,0.5106382978723404,0.1276595744680851,0.024016724009339938
core+bb,1.02,1.05,,,0.5,33,0.5757575757575758,0.15151515151515152,0.03434742357483483
core+bb,1.02,1.05,,,0.6,25,0.56,0.16,0.037133138343866536
core+bb,1.03,1.03,,,0.4,146,0.4315068493150685,0.1917808219178082,-0.005457811512610028
core+bb,1.03,1.03,,,0.5,103,0.5048543689320388,0.21359223300970873,0.0018612670027565714
core+bb,1.03,1.03,,,0.6,79,0.5063291139240507,0.20253164556962025,0.003217389640168927
core+bb,1.03,1.04,,,0.4,88,0.4772727272727273,0.17045454545454544,0.0024434287720017517
core+bb,1.03,1.04,,,0.5,59,0.559322033898305,0.1694915254237288,0.014088813992744996
core+bb,1.03,1.04,,,0.6,46,0.5869565217391305,0.1956521739130435,0.017852235774474198
core+bb,1.03,1.05,,,0.4,61,0.5081967213114754,0.16393442622950818,0.014011198614999238
core+bb,1.03,1.05,,,0.5,39,0.6153846153846154,0.1794871794871795,0.0356403041051647
core+bb,1.03,1.05,,,0.6,29,0.6206896551724138,0.20689655172413793,0.03913883540842144
