symbol,weight,signals,fulfilled_rate,avg_ret10d,sharpe_proxy,avg_sent7d
CDE,0.10940803795080194,14,0.5,0.12160371358672054,1.5024311255822687,0.3728571428571429
MU,0.10681774241564185,18,0.4444444444444444,0.16202338085726528,2.137467630738211,0.2644444444444444
NESR,0.10581684108708729,13,0.5384615384615384,0.03902962386522159,1.2700086116130507,0.4242857142857143
PACS,0.10136333147564623,18,0.4444444444444444,0.15003817101504094,3.194046309730141,-0.07411764705882354
VERA,0.10057524333295254,18,0.3888888888888889,0.17596341184041173,1.1407432255060035,0.1927272727272727
HBM,0.09999778734882246,18,0.4444444444444444,0.10035958576656603,2.7273421575743018,0.16833333333333333
HRTG,0.09871799803738039,8,0.5,0.03744265944696925,0.475425190195882,0.2750000000000001
SLGN,0.09748846379970673,10,0.5,0.029138533580380495,0.9004706818343292,0.21999999999999997
TWLO,0.09133762812808362,18,0.3888888888888889,0.0599843203839015,1.636143098444898,0.27666666666666667
UAL,0.08847692642387694,14,0.35714285714285715,0.07304496303334744,2.554022121495641,0.1521428571428571
