view,r4a_reco,market_bin,above_ma200,prev_rule_ok,n_closed,pct_win,pct_loss,mean_delta,total_delta
weekly,YES,<0,>0,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,>0,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,<0,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,<0,<0,NO,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,>0,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,>0,NO,86.0,64.0,36.0,1.9,164.7
weekly,YES,0-2,<0,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,0-2,<0,NO,21.0,57.1,42.9,-0.3,-6.6
weekly,YES,>2,>0,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,>0,NO,14.0,50.0,50.0,-0.1,-1.8
weekly,YES,>2,<0,YES,0.0,0.0,100.0,0.0,0.0
weekly,YES,>2,<0,NO,2.0,100.0,0.0,2.4,4.8
weekly,NO,<0,>0,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,>0,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,<0,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,<0,<0,NO,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,>0,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,>0,NO,320.0,29.7,70.3,-4.1,-1313.2
weekly,NO,0-2,<0,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,0-2,<0,NO,297.0,18.9,81.1,-4.6,-1356.0
weekly,NO,>2,>0,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,>0,NO,86.0,39.5,60.5,-0.6,-49.6
weekly,NO,>2,<0,YES,0.0,0.0,100.0,0.0,0.0
weekly,NO,>2,<0,NO,79.0,11.4,88.6,-4.3,-337.7
