month,r4a_reco,market_bin,above_ma200,prev_rule_ok,n_closed,pct_win,pct_loss,avg_win,avg_loss,median_delta,mean_delta,max_dd
2025-11,NO,0-2,<0,NO,153,51.0,49.0,1.4244,-2.0154,0.0186,-0.2618,-56.858
2025-11,NO,0-2,>0,NO,306,56.2,43.8,4.3585,-2.5968,0.1431,1.3127,-77.1431
2025-11,NO,0-2,NA,NO,10,30.0,70.0,0.5669,-2.3532,-0.817,-1.4772,-11.1225
2025-11,NO,<0,<0,NO,8,87.5,12.5,48.5186,-2.0446,49.4294,42.1982,-2.0446
2025-11,NO,<0,>0,NO,41,63.4,36.6,8.4499,-3.1252,0.6819,4.2151,-23.5893
2025-11,NO,>2,<0,NO,660,6.2,93.8,2.1029,-6.0461,-2.3183,-5.5398,-3654.8084
2025-11,NO,>2,>0,NO,465,21.9,78.1,5.4209,-6.8272,-2.0244,-4.1406,-1924.3496
2025-11,NO,>2,NA,NO,20,0.0,100.0,0.0,-1.9293,-1.6036,-1.9293,-37.6846
2025-11,YES,0-2,<0,NO,15,46.7,53.3,0.9757,-4.2958,-0.0446,-1.8358,-30.2538
2025-11,YES,0-2,>0,NO,18,55.6,44.4,7.3359,-2.1406,0.0122,3.1241,-13.3825
2025-11,YES,<0,<0,NO,2,100.0,0.0,45.0646,0.0,45.0646,45.0646,-0.0
2025-11,YES,<0,>0,NO,5,20.0,80.0,3.4102,-3.6668,-1.9933,-2.2514,-13.7026
2025-11,YES,>2,<0,NO,59,3.4,96.6,0.3571,-6.7025,-3.3556,-6.4632,-378.3304
2025-11,YES,>2,>0,NO,51,33.3,66.7,14.3609,-6.8476,-1.3638,0.2219,-124.256
2025-12,NO,0-2,<0,NO,391,42.7,57.3,1.0598,-1.1884,-0.116,-0.2282,-121.0647
2025-12,NO,0-2,>0,NO,799,41.1,58.9,4.3774,-4.3094,-0.2212,-0.7434,-800.7777
2025-12,NO,0-2,NA,NO,4,0.0,100.0,0.0,-0.7173,-0.6354,-0.7173,-1.783
2025-12,NO,<0,<0,NO,21,81.0,19.0,27.2654,-4.6735,13.1411,21.1818,-11.9239
2025-12,NO,<0,>0,NO,70,41.4,58.6,14.2213,-5.7754,-0.9279,2.509,-121.2244
2025-12,NO,>2,<0,NO,1136,5.4,94.6,1.4573,-6.6665,-2.7882,-6.2303,-7076.449
2025-12,NO,>2,>0,NO,1075,12.5,87.5,6.1464,-7.0278,-2.4161,-5.3856,-5781.512
2025-12,NO,>2,NA,NO,60,1.7,98.3,0.1764,-1.1255,-0.9153,-1.1038,-65.277
2025-12,YES,0-2,<0,NO,47,46.8,53.2,1.0953,-1.7168,-0.0544,-0.4005,-30.8217
2025-12,YES,0-2,>0,NO,98,51.0,49.0,3.454,-3.3125,0.0116,0.1398,-111.2134
2025-12,YES,<0,<0,NO,2,50.0,50.0,44.0379,-16.1051,13.9664,13.9664,-0.0
2025-12,YES,<0,>0,NO,10,50.0,50.0,1.4755,-3.7103,-0.0347,-1.1174,-18.5514
2025-12,YES,>2,<0,NO,156,3.8,96.2,0.2972,-5.8663,-2.7314,-5.6292,-873.1593
2025-12,YES,>2,>0,NO,110,9.1,90.9,6.5208,-5.0498,-3.1527,-3.9979,-449.1406
2025-12,YES,>2,NA,NO,2,0.0,100.0,0.0,-0.7681,-0.7681,-0.7681,-0.9705
2026-01,NO,0-2,<0,NO,64,70.3,29.7,3.371,-1.771,0.4212,1.8445,-9.7891
2026-01,NO,0-2,>0,NO,166,57.2,42.8,5.0087,-5.9213,0.2438,0.3338,-102.9655
2026-01,NO,<0,<0,NO,3,100.0,0.0,45.5138,0.0,45.4998,45.5138,-0.0
2026-01,NO,<0,>0,NO,18,72.2,27.8,3.6766,-1.6065,1.4296,2.2091,-3.6957
2026-01,NO,>2,<0,NO,283,8.8,91.2,0.9366,-7.1795,-2.0651,-6.4626,-1828.8254
2026-01,NO,>2,>0,NO,264,20.5,79.5,9.8061,-7.7501,-2.4724,-4.159,-1216.9794
2026-01,NO,>2,NA,NO,14,0.0,100.0,0.0,-1.6991,-1.7237,-1.6991,-23.0142
2026-01,YES,0-2,<0,NO,5,60.0,40.0,1.5223,-2.0046,0.5408,0.1116,-3.5228
2026-01,YES,0-2,>0,NO,27,70.4,29.6,1.8088,-10.502,0.6002,-1.8388,-69.6279
2026-01,YES,<0,<0,NO,2,100.0,0.0,23.7948,0.0,23.7948,23.7948,-0.0
2026-01,YES,<0,>0,NO,2,100.0,0.0,0.4355,0.0,0.4355,0.4355,-0.0
2026-01,YES,>2,<0,NO,27,3.7,96.3,0.2928,-5.4574,-2.5974,-5.2444,-140.2711
2026-01,YES,>2,>0,NO,29,27.6,72.4,3.4106,-8.3583,-2.3623,-5.1117,-160.1965
2026-01,YES,>2,NA,NO,1,0.0,100.0,0.0,-3.9297,-3.9297,-3.9297,-0.0
