date,source,n_certified,n_prev_rule_ok
2025-09-15,icloud,89,0
2025-09-15,publisher,89,0
2025-09-16,icloud,89,1
2025-09-16,publisher,89,1
2025-09-17,icloud,89,0
2025-09-17,publisher,89,0
2025-09-18,icloud,89,0
2025-09-18,publisher,89,0
2025-09-19,icloud,89,0
2025-09-19,publisher,89,0
2025-09-20,icloud,89,0
2025-09-20,publisher,89,0
2025-09-21,icloud,82,0
2025-09-21,publisher,82,0
2025-09-22,icloud,93,0
2025-09-22,publisher,93,0
2025-09-23,icloud,108,1
2025-09-23,publisher,108,1
2025-09-24,icloud,119,1
2025-09-24,publisher,119,1
2025-09-25,icloud,117,1
2025-09-25,publisher,117,1
2025-09-26,icloud,117,1
2025-09-26,publisher,117,1
2025-09-29,icloud,118,0
2025-09-29,publisher,118,0
2025-09-30,icloud,118,0
2025-09-30,publisher,118,0
2025-10-01,icloud,118,1
2025-10-01,publisher,118,1
2025-10-02,icloud,93,1
2025-10-02,publisher,93,1
2025-10-03,icloud,102,0
2025-10-03,publisher,102,0
2025-10-10,icloud,95,1
2025-10-10,publisher,95,1
2025-10-13,icloud,95,1
2025-10-13,publisher,95,1
2025-10-14,icloud,95,1
2025-10-14,publisher,95,1
2025-10-16,icloud,95,1
2025-10-16,publisher,95,1
2025-10-17,icloud,95,1
2025-10-17,publisher,95,1
2025-10-20,icloud,95,1
2025-10-20,publisher,95,1
2025-10-21,icloud,18,0
2025-10-21,publisher,18,0
2025-10-22,icloud,17,0
2025-10-22,publisher,17,0
2025-10-24,icloud,85,0
2025-10-24,publisher,85,0
2025-10-27,icloud,86,0
2025-10-27,publisher,86,0
2025-10-28,icloud,83,0
2025-10-28,publisher,83,0
2025-10-29,icloud,183,0
2025-10-29,publisher,183,0
2025-10-30,icloud,61,0
2025-10-30,publisher,61,0
2025-10-31,icloud,41,1
2025-10-31,publisher,41,1
2025-11-03,icloud,61,6
2025-11-03,publisher,61,6
2025-11-04,icloud,61,2
2025-11-04,publisher,61,2
2025-11-05,icloud,61,4
2025-11-05,publisher,61,4
2025-11-06,icloud,62,2
2025-11-06,publisher,62,2
2025-11-07,icloud,60,0
2025-11-07,publisher,60,0
2025-11-08,icloud,60,0
2025-11-08,publisher,60,0
2025-11-10,icloud,60,0
2025-11-10,publisher,60,0
2025-11-11,icloud,0,0
2025-11-11,publisher,0,0
2025-11-12,icloud,0,0
2025-11-12,publisher,0,0
2025-11-14,icloud,84,0
2025-11-14,publisher,84,0
2025-11-17,icloud,87,0
2025-11-28,publisher,84,0
2026-01-09,publisher,86,0
2026-01-19,icloud,79,0
2026-01-19,publisher,79,0
2026-01-20,icloud,79,0
2026-01-20,publisher,79,0
2026-01-21,icloud,71,0
2026-01-21,publisher,71,0
2026-01-22,icloud,82,0
2026-01-22,publisher,82,0
2026-01-23,icloud,83,0
2026-01-23,publisher,83,0
2026-01-23,publisher,181,0
2026-01-26,publisher,83,0
2026-01-27,publisher,82,2
2026-01-28,publisher,83,2
2026-01-29,publisher,81,8
