date,lt0_win_rate,bin0_2_win_rate
20250912,,
20250915,,
20250916,0.5652,0.6000
20250917,0.4348,0.2000
20250918,0.3929,0.5000
20250919,0.6296,0.8750
20250920,0.0000,0.0000
20250922,,
20250923,0.3958,0.1333
20250924,0.4681,0.3077
20250925,0.2979,0.2308
20250926,0.6364,0.3333
20250929,,
20250930,0.5000,0.2353
20251001,0.4872,0.5000
20251002,0.3913,1.0000
20251003,0.3846,0.5000
20251009,,
20251010,0.0000,0.0345
20251013,,
20251014,0.3333,0.5556
20251015,,
20251016,0.3333,0.3448
20251017,0.6667,0.5517
20251020,,
20251021,0.2500,
20251022,,
20251023,,
20251024,0.7500,0.6071
20251027,,
20251028,0.5714,0.3043
20251029,0.7143,0.4500
20251030,0.2857,0.2800
20251031,0.0000,0.0000
