date,wins,losses,pnl_total
20250915,0,0,0.0
20250916,2,2,29.913907785924494
20250917,1,4,-52.30720356327265
20250918,3,0,19.74043126157312
20250919,2,1,1.9009373213497156
20250920,0,0,0.0
20250922,0,0,0
20250923,1,0,0.4427521473478464
20250924,0,1,-8.91110053413729
20250925,1,2,3.4890093795502253
20250926,1,3,-27.357291966204684
20250929,0,0,0
20250930,1,0,0.12813941568413156
20251001,0,2,-16.671304727531833
20251002,0,0,0
20251003,1,1,-30.70450176000702
20251010,0,2,-78.21604879583992
20251013,10,2,226.94444698617804
20251014,6,5,65.77983260085216
20251016,2,7,-111.82616903135556
20251017,6,2,56.907393984510804
20251020,4,0,92.44501705627204
